世界,因素,统计量,范围,分组,统计单位,权重,有效数量,适用候选数量,总帧或阶段组数,有有效观测的帧或组数,有覆盖世界数,数值单位,缺失或不可靠比例,无有效值帧或组比例,最小值,最大值,均值,P5,P25,P50,P75,P95,分位数区间最大宽度,缺失说明,来源,P5下界,P5上界,P25下界,P25上界,P50下界,P50上界,P75下界,P75上界,P95下界,P95上界
全部,B02,每帧范围内异常距离中位数,全部原始帧,全部,帧,有适用观测的帧等权,578,1796,1796,578,4,米,0.678173719376392,0.678173719376392,3.9790382385253906,48.42607116699219,20.393168486525855,5.922544002532959,13.301419258117676,18.130189895629883,27.91299819946289,43.190185546875,0.0,当前帧在对应距离范围内没有异常回波,summary.json:全部:B02|anomaly_in_range_distance_median|all_frames|all:frame_equal,5.922544002532959,5.922544002532959,13.301419258117676,13.301419258117676,18.130189895629883,18.130189895629883,27.91299819946289,27.91299819946289,43.190185546875,43.190185546875
全部,B02,每帧范围内异常距离中位数,全部原始帧,全部,帧,世界等权（同一背景）,578,1796,1796,578,4,米,0.678173719376392,0.678173719376392,3.9790382385253906,48.42607116699219,22.283059829873046,6.6746625900268555,13.94772720336914,21.316242218017578,29.347640991210938,41.28076934814453,0.0,当前帧在对应距离范围内没有异常回波,summary.json:全部:B02|anomaly_in_range_distance_median|all_frames|all:sequence_equal,6.6746625900268555,6.6746625900268555,13.94772720336914,13.94772720336914,21.316242218017578,21.316242218017578,29.347640991210938,29.347640991210938,41.28076934814453,41.28076934814453
全部,B02,逐点距离,全部原始帧,全部,原始异常点,统计单位等权,16682,16682,1796,652,4,米,0.0,0.6369710467706013,3.942765235900879,89.06256103515625,11.879042659999513,4.211750507354736,6.127406597137451,9.394380569458008,17.863988876342773,27.59697151184082,0.0,无缺失,summary.json:全部:B02|distance|all_frames|all:observation_equal,4.211750507354736,4.211750507354736,6.127406597137451,6.127406597137451,9.394380569458008,9.394380569458008,17.863988876342773,17.863988876342773,27.59697151184082,27.59697151184082
全部,B02,逐点距离,全部原始帧,全部,原始异常点,有适用观测的帧等权,16682,16682,1796,652,4,米,0.0,0.6369710467706013,3.942765235900879,89.06256103515625,25.775234786477057,6.391411781311035,13.732535362243652,19.801347732543945,29.87271499633789,68.96031188964844,0.0,无缺失,summary.json:全部:B02|distance|all_frames|all:frame_equal,6.391411781311035,6.391411781311035,13.732535362243652,13.732535362243652,19.801347732543945,19.801347732543945,29.87271499633789,29.87271499633789,68.96031188964844,68.96031188964844
全部,B02,逐点距离,全部原始帧,全部,原始异常点,世界等权（同一背景）,16682,16682,1796,652,4,米,0.0,0.6369710467706013,3.942765235900879,89.06256103515625,19.481218790316795,4.906421184539795,13.148144721984863,18.140766143798828,28.977405548095703,30.914152145385742,0.0,无缺失,summary.json:全部:B02|distance|all_frames|all:sequence_equal,4.906421184539795,4.906421184539795,13.148144721984863,13.148144721984863,18.140766143798828,18.140766143798828,28.977405548095703,28.977405548095703,30.914152145385742,30.914152145385742
全部,B04,方位角,全部原始帧,全部,原始异常点,统计单位等权,16682,16682,1796,652,4,弧度,0.0,0.6369710467706013,-1.0615032118222931,2.8295084648427533,1.5674604750579797,0.466988367904369,0.773631373195736,1.527528897576269,2.442621408182801,2.810594477296682,0.0,无缺失,summary.json:全部:B04|azimuth|all_frames|all:observation_equal,0.466988367904369,0.466988367904369,0.773631373195736,0.773631373195736,1.527528897576269,1.527528897576269,2.442621408182801,2.442621408182801,2.810594477296682,2.810594477296682
全部,B04,方位角,全部原始帧,全部,原始异常点,有适用观测的帧等权,16682,16682,1796,652,4,弧度,0.0,0.6369710467706013,-1.0615032118222931,2.8295084648427533,1.07713671204713,0.17133694400591,0.5214005656214437,0.810122571615575,1.5526794648064004,2.792359380824112,0.0,无缺失,summary.json:全部:B04|azimuth|all_frames|all:frame_equal,0.17133694400591,0.17133694400591,0.5214005656214437,0.5214005656214437,0.810122571615575,0.810122571615575,1.5526794648064004,1.5526794648064004,2.792359380824112,2.792359380824112
全部,B04,方位角,全部原始帧,全部,原始异常点,世界等权（同一背景）,16682,16682,1796,652,4,弧度,0.0,0.6369710467706013,-1.0615032118222931,2.8295084648427533,1.425701571183862,0.5034691982743337,0.85342609821627,1.47925659604894,1.828514749933585,2.7920159096976307,0.0,无缺失,summary.json:全部:B04|azimuth|all_frames|all:sequence_equal,0.5034691982743337,0.5034691982743337,0.85342609821627,0.85342609821627,1.47925659604894,1.47925659604894,1.828514749933585,1.828514749933585,2.7920159096976307,2.7920159096976307
全部,B04,俯仰角,全部原始帧,全部,原始异常点,统计单位等权,16682,16682,1796,652,4,弧度,0.0,0.6369710467706013,-0.367381644739942,0.04035476583854578,-0.17074753438617185,-0.340376669177539,-0.24283073500239372,-0.1792449422271996,-0.08428506387336009,-0.013942640864317605,0.0,无缺失,summary.json:全部:B04|elevation|all_frames|all:observation_equal,-0.340376669177539,-0.340376669177539,-0.24283073500239372,-0.24283073500239372,-0.1792449422271996,-0.1792449422271996,-0.08428506387336009,-0.08428506387336009,-0.013942640864317605,-0.013942640864317605
全部,B04,俯仰角,全部原始帧,全部,原始异常点,有适用观测的帧等权,16682,16682,1796,652,4,弧度,0.0,0.6369710467706013,-0.367381644739942,0.04035476583854578,-0.07606846609547227,-0.23581049522164516,-0.12708549746779113,-0.04915264178977823,-0.018640384254614662,0.016898838115911332,0.0,无缺失,summary.json:全部:B04|elevation|all_frames|all:frame_equal,-0.23581049522164516,-0.23581049522164516,-0.12708549746779113,-0.12708549746779113,-0.04915264178977823,-0.04915264178977823,-0.018640384254614662,-0.018640384254614662,0.016898838115911332,0.016898838115911332
