anomaly,normal,AP_loss
P125:1,N145:575,0.0048769602573117635
P142:2,N141:2035,0.0048730278207385165
P140:1,N150:90,0.004861874568268309
P125:1,N138:528,0.004854503242086269
P125:1,N153:534,0.004834172618243533
P147:2,N152:190,0.004824532982869411
P141:5,N141:2038,0.004823108525472039
P125:1,N139:1368,0.004821115543899262
P145:2,N138:85,0.0048191390597697665
P150:4,N140:1774,0.004818409177031876
P125:1,N149:1040,0.0048152938792456
P141:4,N143:550,0.004814693507145225
P141:5,N142:297,0.004813900988479875
P125:1,N141:1205,0.004807783099874346
P125:1,N150:663,0.004798059819553363
P169:1,N141:2022,0.004773396486872721
P125:1,N139:665,0.004727120169841545
P144:3,N153:73,0.004712559566967898
P125:1,N144:607,0.0047003165006633965
P125:1,N142:687,0.0046863714239083
P125:1,N141:557,0.004678658282163379
P145:2,N145:69,0.0046692449293405745
P137:3,N138:85,0.004653687250246207
P125:1,N125:1010,0.004649771295037761
P148:2,N141:2035,0.004634848287772691
P125:1,N125:819,0.004627476233397006
P143:3,N144:594,0.0046248835739335714
P152:1,N141:1776,0.004618862858594723
P138:5,N139:514,0.004600635450800917
P145:2,N146:67,0.004591842842261048
P143:3,N151:746,0.004586604454030853
P144:3,N148:46,0.004582609116801579
P137:3,N145:69,0.004581957624923048
P145:1,N144:47,0.004579841822398223
P125:1,N143:553,0.004531585828112002
P150:3,N148:46,0.004529205983712932
P149:2,N148:46,0.004527369527373252
P125:1,N150:1590,0.004527220868098054
P145:2,N149:56,0.0045211915539880125
P141:4,N141:2022,0.004506831270337586
P141:5,N138:1045,0.004491005132735454
P153:30550,N144:47,0.004489187726724868
P125:1,N145:421,0.004479693400168744
P145:2,N150:90,0.0044727020988209075
P125:1,N141:1091,0.004472438973031195
P148:2,N139:514,0.004463229508602376
P125:1,N140:700,0.004457350325250649
P139:7,N137:45,0.004438217424180808
P169:1,N145:621,0.004427342488050376
P143:3,N146:519,0.0044117368915036394
P150:4,N143:306,0.004405407587120919
P125:1,N138:526,0.004405407106390072
P125:1,N145:645,0.004397129785132126
P125:1,N139:601,0.004393689973009831
P125:1,N144:288,0.00438422045967716
P137:3,N141:1776,0.004362683322416874
P125:1,N146:520,0.0043522588953401505
P137:3,N149:56,0.0043466890474131575
P146:2,N151:36,0.004328102207302574
P150:4,N144:595,0.004316085224984942
P147:2,N151:36,0.004303408100150717
P152:1,N140:176,0.004283765069079062
P125:1,N145:369,0.004274255671408034
P125:1,N141:1274,0.004273962979645033
P153:30551,N146:67,0.0042602640257757545
P151:1,N140:176,0.004259337711059604
P153:30550,N141:1776,0.004249309379252433
P169:1,N143:127,0.004238273907286316
P125:1,N152:415,0.004234914483281542
P153:30551,N150:90,0.004227922718931496
P125:1,N149:1039,0.004223287807293045
P149:2,N144:47,0.004205713865276771
P153:30550,N141:1,0.004204618730809609
P150:3,N144:47,0.0041986726542854996
P152:1,N143:94,0.0041930964649776374
P150:2,N140:176,0.004187510897668387
P149:3,N152:190,0.004181082552908463
P169:1,N125:1037,0.004180901503222777
P125:1,N147:716,0.004166345851429619
P169:1,N149:1038,0.00415868571083521
P169:1,N143:549,0.004158577274534844
P142:2,N141:1776,0.0041554513043239386
P141:5,N140:1774,0.004147616696916528
P125:1,N141:1397,0.004138803757703646
P169:1,N148:311,0.004118846664278703
P142:2,N137:45,0.004059706967819364
P125:1,N144:262,0.0040559965252449925
P125:1,N141:1313,0.004050885160493962
P146:2,N141:2035,0.004034114625836623
P145:1,N141:1776,0.004031400069888446
P169:1,N143:231,0.004023950810929527
P125:1,N141:2063,0.004014333759657804
P169:1,N144:595,0.004007048731758288
P141:4,N141:2021,0.003996550320171287
P144:5,N152:190,0.003989541811998901
P144:3,N144:47,0.003981439133969794
P148:2,N143:94,0.0039811992912315245
P146:2,N139:514,0.003954623434398654
P139:7,N141:2038,0.003941433041542283
P147:2,N139:514,0.0039037891029416387
P125:1,N169:542,0.0039034031203202023
P125:1,N137:794,0.003900219934358518
P149:3,N151:36,0.003880876751832326
P169:1,N150:1557,0.0038629793225621687
P125:1,N140:1775,0.0038577405111047207
P144:5,N151:36,0.0038487027493496456
P144:5,N139:514,0.00381818295231192
P169:1,N143:299,0.003811185908212363
P152:1,N152:190,0.0038087471624729087
P140:1,N140:176,0.0038008962181554093
P125:1,N141:1976,0.0037918931025739057
P142:3,N143:306,0.0037802320040678495
P150:2,N141:2035,0.0037734300753120057
P143:3,N145:621,0.003766886409536271
P125:1,N141:757,0.003754200453052166
P125:1,N153:155,0.00375168832973177
P169:1,N148:1398,0.003742347907660313
P125:1,N143:593,0.003738541081783724
P141:5,N143:306,0.0037180961632541374
P147:2,N141:2035,0.003684804530613675
P147:2,N143:94,0.00366703771917165
P125:1,N142:408,0.003663828836310172
P141:5,N144:595,0.0036584776013448843
P151:1,N152:190,0.0036530925807725136
P125:1,N141:1218,0.0036495621612260038
P151:1,N141:2035,0.0036454905391016426
P138:4,N141:75,0.0036447497433831325
P153:30551,N140:176,0.0036392041431536335
P143:3,N150:599,0.0036378677738953063
P145:1,N145:69,0.0036179877108383045
P125:1,N125:1066,0.0036179481719444168
P125:1,N141:1219,0.0036110366644316197
P125:1,N125:1251,0.0036106790016014125
