threshold,tp,fp,precision,recall
-0.1845703125,84727,266131,0.24148515923821032,0.9683196379387193
-0.185546875,84728,266265,0.24139512753815603,0.9683310666407616
-0.1865234375,84730,266397,0.24130870027084217,0.9683539240448462
-0.1875,84732,266536,0.24121753191295536,0.9683767814489308
-0.1884765625,84734,266682,0.24112163361941402,0.9683996388530155
-0.189453125,84734,266838,0.2410146428043189,0.9683996388530155
-0.1904296875,84735,266991,0.24091195987785946,0.9684110675550578
-0.19140625,84735,267135,0.24081336857362093,0.9684110675550578
-0.1923828125,84735,267271,0.24072032863076198,0.9684110675550578
-0.193359375,84737,267382,0.24064875794830726,0.9684339249591424
-0.1943359375,84740,267508,0.24056914446639868,0.9684682110652694
-0.1953125,84741,267642,0.24047981883348515,0.9684796397673117
-0.1962890625,84742,267788,0.24038237880464075,0.968491068469354
-0.197265625,84743,267932,0.24028638264691288,0.9685024971713962
-0.1982421875,84746,268082,0.24019068781389233,0.9685367832775231
-0.19921875,84748,268217,0.24010312637230322,0.9685596406816078
-0.2001953125,84749,268356,0.2400107616714575,0.9685710693836501
-0.201171875,84750,268508,0.23990964111216165,0.9685824980856924
-0.2021484375,84752,268646,0.23982025931103176,0.968605355489777
-0.203125,84757,268771,0.23974621529270665,0.9686624989999886
-0.2041015625,84758,268898,0.23966227068111384,0.9686739277020309
-0.205078125,84759,269022,0.23958041839443045,0.9686853564040732
-0.2060546875,84760,269138,0.2395040378866227,0.9686967851061155
-0.20703125,84760,269261,0.23942082531827208,0.9686967851061155
-0.2080078125,84762,269385,0.23934129048107142,0.9687196425102002
-0.208984375,84763,269512,0.23925763883988427,0.9687310712122424
-0.2099609375,84765,269664,0.23915932387022507,0.968753928616327
-0.2109375,84767,269816,0.2390610942995011,0.9687767860204116
-0.2119140625,84769,269943,0.2389797920566544,0.9687996434244963
-0.212890625,84773,270072,0.23890149220082008,0.9688453582326655
-0.2138671875,84774,270190,0.23882421879401855,0.9688567869347078
-0.21484375,84774,270316,0.23873947449942268,0.9688567869347078
-0.2158203125,84776,270443,0.23865840509657424,0.9688796443387925
-0.216796875,84778,270575,0.23857403764707208,0.9689025017428771
-0.2177734375,84778,270700,0.23849014566302273,0.9689025017428771
-0.21875,84779,270829,0.23840577264853435,0.9689139304449194
-0.2197265625,84779,270979,0.23830525244688805,0.9689139304449194
-0.220703125,84779,271100,0.23822422789768433,0.9689139304449194
-0.2216796875,84781,271240,0.23813482912524822,0.9689367878490039
-0.22265625,84783,271393,0.2380368132608598,0.9689596452530886
-0.2236328125,84784,271527,0.2379494318165872,0.9689710739551309
-0.224609375,84785,271676,0.23785210724314862,0.9689825026571732
-0.2255859375,84785,271809,0.23776339478510575,0.9689825026571732
-0.2265625,84787,271926,0.23768968330282328,0.9690053600612578
-0.2275390625,84787,272070,0.23759377005355087,0.9690053600612578
-0.228515625,84789,272207,0.2375068628219924,0.9690282174653425
