anomaly,normal,AP_loss
P139:7,N137:45,0.007610706973162976
P169:1,N141:2038,0.0075734018092240285
P138:5,N148:46,0.007564877019922154
P138:5,N138:85,0.0074805420479729145
P150:2,N147:49,0.007406890643948626
P147:2,N145:69,0.007404175434524513
P125:1,N147:725,0.007308875937674301
P144:5,N125:30,0.007307421442042815
P150:4,N142:297,0.007258281481763204
P144:5,N151:36,0.007225094952602543
P141:5,N137:45,0.007204603146209831
P150:2,N150:90,0.007178973765343042
P140:1,N150:90,0.00717826453319407
P153:30551,N144:47,0.007122739756462964
P146:2,N145:69,0.007105609674785221
P140:1,N144:47,0.007082837281315547
P153:30551,N150:90,0.007028617185348515
P151:1,N153:73,0.007022310918601649
P149:3,N148:46,0.007017627467596434
P152:1,N148:46,0.006999753114944434
P144:5,N141:2035,0.006985256635233534
P147:2,N146:67,0.0069798504346483955
P150:2,N144:47,0.006920223930966301
P142:2,N151:36,0.006917745916400005
P147:2,N141:2035,0.006863920528706129
P148:2,N151:36,0.006817311091595667
P137:3,N147:49,0.006788784297360065
P125:1,N140:588,0.006777452876396679
P149:2,N125:30,0.006753628771481576
P145:1,N153:73,0.00674006582099583
P137:3,N150:90,0.006687719100515336
P145:2,N148:46,0.00658288493909838
P148:2,N140:176,0.006581484666089607
P125:1,N144:594,0.006578201190148896
P140:1,N125:30,0.006576073371771243
P147:2,N149:56,0.006549954786660823
P145:2,N138:85,0.006524166265892715
P152:1,N138:85,0.0065202544400215804
P169:1,N125:21,0.006506615305864151
P153:30551,N125:30,0.006462410362211954
P137:3,N144:47,0.006459160045657723
P125:1,N152:264,0.006458847467954133
P153:30551,N138:85,0.006450391504504944
P125:1,N125:1478,0.006402106016765815
P140:1,N138:85,0.006399298046116869
P146:2,N149:56,0.006356321029201412
P125:1,N125:1,0.006315511814107845
P138:5,N145:69,0.006308270744599777
P142:3,N141:2035,0.0062942647956475955
P125:1,N142:408,0.006276255869826057
P125:1,N150:1098,0.006249564175567478
P144:5,N140:176,0.006176837012130327
P150:4,N143:94,0.00614980375617895
P151:1,N125:30,0.006136988548786149
P125:1,N153:232,0.006096017556359808
P125:1,N141:1205,0.0060561445942194135
P125:1,N141:2022,0.0060120661216265915
P150:2,N148:46,0.006005988104396299
P141:5,N141:2038,0.0059695689772706955
P150:2,N138:85,0.005953698524761847
P149:3,N145:69,0.005905753209010026
P142:2,N142:297,0.005901277779984706
P142:2,N143:94,0.005892257865839078
P151:1,N147:49,0.005886370093547784
P169:1,N150:599,0.005871199966515191
P153:30551,N148:46,0.005835228381132458
P140:1,N148:46,0.005828561347381118
P142:2,N141:2035,0.00581398053043247
P146:2,N146:67,0.005799692168629789
P152:1,N145:69,0.005783232713413548
P125:1,N150:1171,0.005713337963516697
P145:1,N147:49,0.005712270713324293
P139:7,N142:297,0.005672406426611148
P151:1,N150:90,0.005644934940062084
P137:3,N148:46,0.005611528525641
P147:2,N151:36,0.00561009635537284
P125:1,N150:1106,0.005577166693534495
P151:1,N144:47,0.00554736607377944
P125:1,N149:744,0.005537464079579951
P125:1,N152:289,0.005536896531433835
P149:3,N146:67,0.005512401576469727
P138:5,N149:56,0.005512040090484848
P144:2,N141:75,0.005497916310747558
P146:2,N141:2035,0.005495872811134644
P141:5,N142:297,0.005490670932738724
