update,stu_fraction,source_switches,recent_stu,bn_shift,gradient_norm,clipped,bce,normal_bce,anomaly_bce,lr,ranking_weight
29,0.0,1,0.1611333092559589,0.006349844932189736,0.4815118610858917,False,0.10039183613796372,0.13883392507466466,0.061949747201262784,8.545454545454545e-05,0.0
30,0.375,5,0.17789779671054937,0.0057945241278833,0.491116464138031,False,0.15976308647036075,0.1591910035940883,0.16033516934663322,8.77922077922078e-05,0.0
31,0.125,3,0.17356904955908614,0.004547596544356116,0.41148534417152405,False,0.07739817890042834,0.10752941796957476,0.04726693983128193,9.012987012987012e-05,0.0
32,0.0,0,0.16015991959754344,0.005847957634981801,10.443774223327637,True,0.2517180412886288,0.09464666320545306,0.4087894193718045,9.246753246753248e-05,0.0
33,0.25,4,0.16719367616863545,0.004941068539378918,0.5448052883148193,False,0.08186974906026996,0.11897608089162652,0.0447634172289134,9.480519480519481e-05,0.0
34,0.125,2,0.16359773110557804,0.0041914728925374,0.35272708535194397,False,0.06913464874433883,0.09421919622681559,0.044050101261862075,9.714285714285715e-05,0.0
35,0.125,2,0.16085893839811763,0.003894263021182016,1.2097179889678955,True,0.08148108428211219,0.08205893910309088,0.0809032294611335,9.948051948051949e-05,0.0
36,0.375,4,0.1773505234521807,0.005500658364610719,0.9365965127944946,False,0.06625123352593348,0.06696238727428311,0.06554007977758386,0.00010181818181818184,0.0
37,0.25,3,0.18335224456951413,0.0037907530478740064,0.7261524200439453,False,0.05279547995918035,0.06899649912286296,0.036594460795497746,0.00010415584415584417,0.0
38,0.375,5,0.1984942709879696,0.005865778805787163,0.2517489492893219,False,0.0541074483588839,0.06912367639366351,0.039091220324104274,0.00010649350649350652,0.0
39,0.0,0,0.18315953542848673,0.005683949630868106,0.4602271318435669,False,0.060092285042210244,0.09402707351353895,0.026157496570881532,0.00010883116883116884,0.0
40,0.125,2,0.1785193900495188,0.004801055182693263,5.090884685516357,True,0.12203896006311066,0.06319076857746816,0.18088715154875315,0.0001111688311688312,0.0
41,0.375,4,0.19374947349977178,0.0065793315733020125,1.274010419845581,True,0.05894623200511413,0.05493714358487142,0.06295532042535684,0.00011350649350649352,0.0
42,0.0,0,0.17878129872011728,0.005500661553724568,0.986066460609436,False,0.07923371265244437,0.14036937993069565,0.01809804537419309,0.00011584415584415584,0.0
43,0.375,6,0.1936971084359912,0.006124714345793124,0.888378381729126,False,0.04483898746643683,0.046559011821677154,0.043118963111196514,0.0001181818181818182,0.0
44,0.25,4,0.19833596913534038,0.004462142134589555,1.6969292163848877,True,0.07024334772144475,0.06375122707082213,0.07673546837206738,0.00012051948051948052,0.0
45,0.125,2,0.19252336373285503,0.004687514872036849,0.280998170375824,False,0.04668580758688794,0.05411029568709382,0.03926131948668206,0.00012285714285714287,0.0
46,0.0,0,0.17764991243790862,0.007061208776911973,0.3235922157764435,False,0.04503105023919913,0.06832357791563727,0.021738522562760983,0.0001251948051948052,0.0
47,0.0,0,0.16392551416766477,0.005057828112185913,0.34026262164115906,False,0.046898181206365575,0.06853436926214167,0.025261993150589482,0.00012753246753246752,0.0
48,0.375,4,0.17989100205865144,0.006297691727922976,49.10561752319336,True,0.4975587503512164,0.022002476295820837,0.9731150244066119,0.00012987012987012987,0.0
49,0.125,2,0.17531412120401257,0.004802451702529315,4.79851770401001,True,0.6432945154365117,0.022678656770542236,1.2639103741024813,0.00013220779220779222,0.0
50,0.25,2,0.18050563017237584,0.005730418333646903,5.580415725708008,True,0.07573414155272752,0.030276636934580024,0.12119164617087501,0.00013454545454545455,0.0
51,0.25,4,0.18596757265592812,0.005454200076317001,14.158258438110352,True,0.28756546987935316,0.024400981368361593,0.5507299583903448,0.00013688311688311687,0.0
52,0.0,0,0.17160059100389644,0.007112802779106834,0.28571006655693054,False,0.036179313735004257,0.05533999626860641,0.017018631201402106,0.00013922077922077922,0.0
53,0.25,4,0.1775564254085409,0.005098498130491759,2.431211233139038,True,0.22656690384662462,0.034292314661215816,0.41884149303203344,0.00014155844155844157,0.0
54,0.125,2,0.17325405100132787,0.007122426193624696,0.31122204661369324,False,0.09481544443061318,0.059203369650321865,0.1304275192109045,0.0001438961038961039,0.0
55,0.125,2,0.16947521644961955,0.004885257577631851,0.4809831380844116,False,0.05366797388351772,0.09127082051849848,0.016065127248536957,0.00014623376623376622,0.0
56,0.125,1,0.16638235681590982,0.004632628462956445,0.43864506483078003,False,0.045766529536385346,0.08176197059273552,0.00977108848003517,0.00014857142857142857,0.0
57,0.125,1,0.16284909047736373,0.004763623270250669,0.34760424494743347,False,0.037126854576517446,0.06327818449073577,0.010975524662299115,0.0001509090909090909,0.0
58,0.375,3,0.17957708433039973,0.005416917515416094,0.7712181210517883,False,0.10763822685365447,0.06041648956043267,0.15485996414687628,0.00015324675324675325,0.0
59,0.0,1,0.16570380180671151,0.004674725414072134,0.1892092525959015,False,0.03743219668623571,0.03659492466744824,0.038269468705023166,0.0001555844155844156,0.0
60,0.0,0,0.15290230396367868,0.005703794754575206,0.14463050663471222,False,0.016939944670403516,0.02438624846294559,0.009493640877861437,0.00015792207792207793,0.0
61,0.375,3,0.17001449174129965,0.0053653086292916735,8.256458282470703,True,0.1754793916311136,0.014940058781045588,0.3360187244811816,0.00016025974025974028,0.0
62,0.125,3,0.1666809702301437,0.003911010727450432,17.361045837402344,True,0.2705037733937017,0.01576587592176321,0.5252416708656401,0.0001625974025974026,0.0
