frames,layer,pairs,relative_rms_difference,median_cosine_similarity,rms_feature_a,rms_feature_b,median_vector_difference
146-147,enc4.block0.attn_output,214,0.7680426168276797,0.7156935700600976,3.711334706438507,3.6479142281153774,62.10073374063139
146-147,enc4.block0,214,0.7028192788762183,0.7659205260926495,4.707548410128272,4.976313045230901,74.30868367353926
146-147,enc4.block1.attn_input,214,0.6013687432027525,0.8276037278862525,0.7239633322973017,0.7696551940223114,9.90378578793374
146-147,enc4.block1.attn_output,214,0.9518408640643435,0.5827487940387183,3.1777836056999087,4.41271458313505,81.7679864324692
146-147,enc4.block1,214,0.9455656668947132,0.6149918693897025,4.162703035734179,6.480075801312522,115.27599665698037
146-147,enc4,214,0.9455656668947132,0.6149918693897025,4.162703035734179,6.480075801312522,115.27599665698037
146-147,dec3,214,1.0449742753829674,0.6267127543208204,0.2996827543735221,0.6776066506886099,8.661110613333511
146-147,dec2,214,0.9629900234170462,0.6274657525501638,0.3404417555361158,0.6116864254018299,5.598226822964859
146-147,dec1,214,0.9187818488236416,0.6564121611853245,0.41739329060922115,0.6699822171629354,4.280593746125268
146-147,dec0,214,1.2814057816600666,0.17081751939291567,0.41624671629177806,0.805772766542891,6.861369319704242
146-147,context,214,1.8506404386108635,-0.8776694303249117,1.6575767156784358,1.242385429725579,21.495100362745255
146-147,detail,214,0.41924221524919986,0.9937217557147527,2.649495488932395,2.628845048398824,2.5535360134908656
146-147,sampling,214,0.5852533086390876,0.9869529858662556,0.5232450589618048,0.5261937977861625,0.7434097682999978
146-147,head_input,214,1.7533699027138718,-0.6466227477483978,1.2290943739370164,0.9540444090353019,21.78127474721025
146-147,head_linear,214,1.7619313037877105,-0.718968283990445,6.281946849429749,4.575351022866143,77.24435486488849
146-147,head_gelu,214,1.4119453148062455,-0.0008346157406041487,5.107885240053744,1.8257673286616012,40.26737708512647
146-147,score,214,1.6710171138450252,-1.0,12.988928044774767,3.5212426419086778,15.640625
145-147,input_xyzi,205,0.0043315038003654445,0.9999996324654247,2.252430551789613,2.2537206729113213,0.014914747069285111
145-147,input_offset,205,1.0812026541000188,0.8363896851556637,0.2900878973394505,0.28243396736377074,0.2799968023179218
145-147,embedding,205,0.32172519332392624,0.960875475376566,0.5530038699955057,0.5414301359601982,0.8871936396343915
145-147,voxel_pool,205,0.404223200748905,0.9819873055735971,2.572775982001111,2.56888118400641,5.8732872859889715
145-147,adapter,205,0.425579312809621,0.9860986925288818,0.16542511539899085,0.16457468065868244,0.17166187133717872
145-147,encoder_input,205,0.3928131222438947,0.9459301895630281,0.48612110426851146,0.47357777849688204,0.9587294841110019
145-147,enc0.block0,205,0.4173882619617884,0.9280145956445589,0.9493410338474334,0.9373206612377226,2.1011888038307807
145-147,enc0.block1,205,0.3289891640317865,0.9594594771112928,1.5247813868917637,1.5120583314374745,2.5603556713331486
145-147,enc0,205,0.3289891640317865,0.9594594771112928,1.5247813868917637,1.5120583314374745,2.5603556713331486
145-147,enc1.pool,205,0.4615805491016174,0.9285111704860403,0.8443989898125586,0.8315794439998759,2.953427982461555
145-147,enc1.block0,205,0.5256985589415121,0.904548436806845,1.091885605712335,1.1031549519195691,4.161993954809085
145-147,enc1.block1,205,0.4830761234894408,0.9190280730623901,1.5474302130132327,1.559062994489872,5.477351394586144
145-147,enc1,205,0.4830761234894408,0.9190280730623901,1.5474302130132327,1.559062994489872,5.477351394586144
145-147,enc2.pool,205,0.4708040147084737,0.9166608625234235,1.0709465378589884,1.1166174876136583,5.2827334857772055
145-147,enc2.block0,205,0.47311945891840596,0.9216241290792248,1.298736823388756,1.33381139709764,6.719252604147769
145-147,enc2.block1,205,0.42314231134400304,0.9363447397757336,1.76669248541194,1.7707951129425739,8.225613129109938
145-147,enc2,205,0.42314231134400304,0.9363447397757336,1.76669248541194,1.7707951129425739,8.225613129109938
