geometry,stu_worlds,scenes,logs,placements,observed_scenes,observed_logs,observed_placements
9f32734b95acb4ce737cac1bb94e5f2e0383c578d72a43506926b1a9e7a90d3b,1,11,11,11,11,11,11
9fd3a3b57d37342ad74190185f5e044ca4cbe68b7e0e927af85dd768af6a652e,1,11,11,11,11,11,11
9ffc4f4c210c79cd6747a1bea5c01471751bd00f827b289b8d99542e4a36f922,1,11,11,11,11,11,11
a0143bbc2cfa5b0ad226b044b422866653991215c41dce5315751a5e84e0723e,1,11,11,11,11,11,11
a0cc17b1158be6640b1531fa4b680a620883dc5d1f4af32188217a097ac5468f,1,11,11,11,11,11,11
a0f85370e9bea43f51884676290f7294add9d69ee30b3ecf9eb4098aaad10cbe,1,11,11,11,11,11,11
a1f64785148d303ed55c722e3143618b67f2dad1e07403b5aabae83ca3889f1b,1,11,11,11,11,11,11
a48fffb471f470855bb38821866c82532c61079b795472d229086514f0dc0f75,1,11,11,11,11,11,11
a49036d1cc1dd24a9e79828c482a10933ce90f3eaf27d4f5268a7f3d81640ba2,1,11,11,11,11,11,11
a4fa862a6694bd6d6bf34a17dcce899a4d11c5fbd1e37fd7127b4352ea460f4d,1,11,11,11,11,11,11
a55d27fe788cc162cb22c11178df2e5e3cf52f892c79ded7f0d702b5128eda78,1,11,11,11,11,11,11
a7986645359453c73ff792b4c48f3a47ddff445460aeb28b7f0f72d003360317,1,11,11,11,11,11,11
a82b9e74af8782d6e9e9a7ea36ea1bc389f40de4b889ec4fa06b3166f845ca79,1,0,0,0,0,0,0
aa6ec8ab029d4619539bbcb1f9d92f2b2fd3896530703873c1fe0a3b64f1e4b8,1,11,11,11,11,11,11
ad8aaf472d16c5c4881dbad9f72d43a9b12aba41a0c657b2bc259e8a8f2fcc3b,1,11,11,11,11,11,11
ae47f389037d4b73c6889d1e82ee923991e8572283439c46d88c4f390cc8a0a3,1,11,11,11,11,11,11
af7c8038e4f4af1d05db99c0457cfa1cd655d3faeb787f98de5f75b0017807ae,1,11,11,11,11,11,11
afc0979a9a1317bc66293922a54dde1fd7dd0873fba3c954fcb0b520c8e50e2e,1,11,11,11,11,11,11
b2667a7bdaace20b0247fabd351906c52f962f0c7625c8435bc16c939d029e57,1,11,11,11,11,11,11
b26bc6599c82d92fb3edf9c30fd103ff4e27e01dbe7d016d7d3ca23ffb286308,1,11,11,11,11,11,11
b2f3ed857e2dd6785f3223c8b17bdcf2f49e9a89e27a8ac2df5ec4155cf172cc,1,11,11,11,11,11,11
b3b9aa5ac38e1dca3c273ac0b4d96a426bbb787dc91d5ced5ef22857608a46b0,1,11,11,11,11,11,11
